,barcode,category,categoryCode,name,topBrand,brand_id,cpg_oid,cpg_ref,brandCode
903,511111218579,Baking,BAKING,test brand @1609794603367,False,5ff3842bbe37ce2c56dacbb1,5ff3842bbe37ce2c56dacbad,Cogs,TEST BRANDCODE @1609794603367
904,511111718567,Baking,BAKING,test brand @1609794603327,False,5ff3842bbe37ce2c56dacbb0,5ff3842bbe37ce2c56dacbad,Cogs,TEST BRANDCODE @1609794603327
905,511111418580,Candy & Sweets,CANDY_AND_SWEETS,test brand @1609794603941,False,5ff3842bbe37ce2c56dacbb2,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1609794603942
906,511111918592,Baking,BAKING,test brand @1610038521409,False,5ff73cf9be37ce1e961f3257,5ff73cf9be37ce1e961f3256,Cogs,TEST BRANDCODE @1610038521409
907,511111419747,Baking,BAKING,test brand @1610718082601,False,60019b82be37ce4f17e558d3,60019b82be37ce4f17e558d1,Cogs,TEST BRANDCODE @1610718082601
908,511111619772,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610718083279,False,60019b83be37ce4f17e558d6,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610718083279
909,511111319795,Baking,BAKING,test brand @1611088480964,False,60074261be37ce360be639f6,60074260be37ce360be639f5,Cogs,
910,511111119760,Baking,BAKING,test brand @1610718082685,False,60019b82be37ce4f17e558d5,60019b82be37ce4f17e558d1,Cogs,TEST BRANDCODE @1610718082685
911,511111819783,Baking,BAKING,test brand @1610718083421,False,60019b83be37ce4f17e558d8,60019b83be37ce4f17e558d7,Cogs,
912,511111919759,Baking,BAKING,test brand @1610718082644,False,60019b82be37ce4f17e558d4,60019b82be37ce4f17e558d1,Cogs,TEST BRANDCODE @1610718082644
913,511111319122,Baking,BAKING,test brand @1610135038186,False,5ff8b5febe37ce4a13986614,5ff8b5febe37ce4a13986613,Cogs,
914,511111119111,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610135036684,False,5ff8b5fcbe37ce4a13986612,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610135036684
915,511111919193,Baking,BAKING,test brand @1610493432606,False,5ffe2df8be37ce5e01754c20,5ffe2df8be37ce5e01754c1f,Cogs,
916,511111519201,Baking,BAKING,test brand @1610493496943,False,5ffe2e38be37ce5e01754c22,5ffe2e38be37ce5e01754c21,Cogs,TEST BRANDCODE @1610493496943
917,511111219170,Candy & Sweets,CANDY_AND_SWEETS,test brand @1610493089082,False,5ffe2ca1be37ce5e01754c0e,5332fa12e4b03c9a25efd1e7,Cogs,TEST BRANDCODE @1610493089082
918,511111019091,Baking,BAKING,test brand @1610135035614,False,5ff8b5fbbe37ce4a13986610,5ff8b5fbbe37ce4a1398660d,Cogs,TEST BRANDCODE @1610135035614
919,511111419181,Baking,BAKING,test brand @1610493152468,False,5ffe2ce0be37ce5e01754c17,5ffe2ce0be37ce5e01754c16,Cogs,
